Sample	Total Reads After Trimming	Hisat2 Human Mapped Reads	Hisat2 Human Unmapped Reads	Hisat2 % Human Mapped Reads	Total Reads After Removing Duplicates	BWA-MEM SARS-CoV-2 Mapped Reads	BWA % SARS-CoV-2 Mapped Reads	Mean of Coverage Depth	Standard Deviation of Coverage Depth	Mean Mapping Quality	GC Percentage	Error Rate	Collection Date	Gender	Age
SRX8325145	-	-	-	-	-	-	-	-	-	-	-	-	2020-04	-	-
SRX8174027	170654	477	170177	0.28%	76439	76389	99.93%	371.848X	724.6399X	35.0357	37.82%	0.0008	2020-04-02	-	-
SRX8378929	146482	0	146482	0.00%	101591	101590	100%	496.8118X	338.7418X	59.6896	38.04%	0.0014	2020-04-03	-	-
SRX8067724	953846	0	953846	0.00%	340776	340776	100%	1,562.384X	1,486.0166X	59.3921	38.42%	0.0009	2020-03-26	-	-
SRX8213966	384464	0	384464	0.00%	196582	196582	100%	656.389X	301.1856X	59.9919	37.78%	0.0008	2020-04	-	-
SRX8378942	111214	756	110458	0.68%	70204	68492	97.56%	329.4453X	468.1945X	53.8314	38.36%	0.0018	2020-04-07	-	-
SRX8213959	-	-	-	-	-	-	-	-	-	-	-	-	2020-04	-	-
SRX8364383	61098	226	60872	0.37%	32401	32186	99.34%	156.5755X	426.3773X	22.8569	37.04%	0.001	2020-04-01	-	-
SRX8287860	696956	278	696678	0.04%	329826	329706	99.96%	1,613.1107X	931.2265X	59.9912	37.84%	0.0009	2020-04-15	-	-
SRX8213961	-	-	-	-	-	-	-	-	-	-	-	-	2020-04	-	-
SRX8287858	307858	92	307766	0.03%	159872	159846	99.98%	781.5437X	652.3814X	59.6939	38.3%	0.0011	2020-04-15	-	-
SRX8067723	541348	0	541348	0.00%	240191	240191	100%	1,117.7368X	1,113.3651X	59.3949	38.37%	0.0009	2020-03-25	-	-
SRX8325129	-	-	-	-	-	-	-	-	-	-	-	-	2020-04	-	-
SRX8364384	487100	0	487100	0.00%	299580	299535	99.98%	1,473.3806X	909.3282X	59.994	37.68%	0.0006	2020-04-07	-	-
SRX8287867	558638	223	558415	0.04%	310441	310397	99.99%	1,524.4698X	894.3034X	59.9941	37.7%	0.0008	2020-04-14	-	-
SRX8378945	1634	411	1223	25.21%	1104	998	90.4%	4.5306X	41.4094X	10.8289	33.26%	0.0009	2020-04-08	-	-
SRX8067715	495322	0	495322	0.00%	249768	249767	100%	1,147.3307X	914.2681X	59.8478	38.29%	0.0007	2020-03-25	-	-
SRX8213957	422372	0	422372	0.00%	210653	210653	100%	702.9756X	313.4888X	59.9936	37.72%	0.0009	2020-04	-	-
SRX8173603	-	-	-	-	-	-	-	-	-	-	-	-	2020-03	-	-
SRX8287851	65756	138	65618	0.21%	52786	52696	99.83%	252.0086X	259.5415X	59.5467	38.07%	0.0009	2020-04-08	-	-
SRX8213968	-	-	-	-	-	-	-	-	-	-	-	-	2020-04	-	-
SRX8325120	-	-	-	-	-	-	-	-	-	-	-	-	2020-04	-	-
SRX8173604	-	-	-	-	-	-	-	-	-	-	-	-	2020-03	-	-
SRX8287869	627034	0	627034	0.00%	349252	349226	99.99%	1,711.9371X	1,053.6486X	59.907	37.77%	0.001	2020-04-15	-	-
SRX8067712	500644	50	500594	0.01%	291565	291499	99.98%	1,383.8897X	726.2476X	59.9918	38.11%	0.0008	2020-03-24	-	-
SRX8325127	-	-	-	-	-	-	-	-	-	-	-	-	2020-04	-	-
SRX8287856	418704	125	418579	0.03%	201392	200229	99.42%	979.2424X	770.2129X	59.6913	38.26%	0.001	2020-04-10	-	-
SRX8325869	-	-	-	-	-	-	-	-	-	-	-	-	2020-04-04	-	-
SRX8325431	223510	0	223510	0.00%	132608	132606	100%	442.7036X	207.6491X	59.9919	37.76%	0.0007	2020-04	-	-
SRX8336026	4283320	1360382	2922938	31.76%	2527797	131116	5.19%	208.176X	550.713X	59.6679	39.35%	0.0011	2020-03-10	-	-
SRX8237240	243384	73	243311	0.03%	125181	124171	99.19%	610.8704X	629.7303X	59.3945	38.26%	0.0011	2020-04-05	-	-
SRX8133052	-	-	-	-	-	-	-	-	-	-	-	-	2020-03	-	-
SRX8325856	-	-	-	-	-	-	-	-	-	-	-	-	2020-01-19	-	-
SRX8237247	371124	0	371124	0.00%	250031	250020	100%	1,240.7076X	791.0151X	59.9939	37.7%	0.0006	2020-04-05	-	-
SRX8325436	273692	1997	271695	0.73%	147545	147284	99.82%	491.5707X	237.4017X	59.3901	37.98%	0.0008	2020-04	-	-
SRX8173588	-	-	-	-	-	-	-	-	-	-	-	-	2020-03	-	-
SRX8325851	-	-	-	-	-	-	-	-	-	-	-	-	2020-04-05	-	-
SRX8325409	80796	17831	62965	22.07%	48567	46056	94.83%	153.8369X	85.9397X	59.8443	37.69%	0.0011	2020-04	-	-
SRX8133055	-	-	-	-	-	-	-	-	-	-	-	-	2020-03	-	-
SRX8325858	-	-	-	-	-	-	-	-	-	-	-	-	2020-01-19	-	-
SRX8325400	206552	103	206449	0.05%	123085	123069	99.99%	411.1217X	201.3446X	59.998	37.82%	0.0007	2020-04	-	-
SRX8336028	2777510	710209	2067301	25.57%	2192104	41326	1.89%	68.6808X	278.6203X	53.6723	37.3%	0.0015	2020-03-10	-	-
SRX7976143	771424	539	770885	0.07%	621	312	50.24%	1.47X	4.2284X	10.6719	39.63%	0.0052	Mar-2020	-	-
SRX8325867	-	-	-	-	-	-	-	-	-	-	-	-	2020-04-04	-	-
SRX8133063	-	-	-	-	-	-	-	-	-	-	-	-	2020-03	-	-
SRX8325407	201050	221	200829	0.11%	121580	121528	99.96%	405.4632X	199.0288X	59.9886	37.78%	0.0009	2020-04	-	-
SRX8133064	-	-	-	-	-	-	-	-	-	-	-	-	2020-03	-	-
SRX8325860	-	-	-	-	-	-	-	-	-	-	-	-	2020-03-30	-	-
SRX8237249	280840	28	280812	0.01%	200356	200344	99.99%	991.6116X	655.7479X	59.9922	37.76%	0.0007	2020-04-07	-	-
SRX7976144	96778	50963	45815	52.66%	5503	66	1.2%	0.2377X	0.7363X	10.5263	38.53%	0.0024	Mar-2020	-	-
SRX8325438	146068	10546	135522	7.22%	89271	87913	98.48%	293.3755X	143.7285X	59.8562	37.73%	0.0011	2020-04	-	-
SRX8325834	-	-	-	-	-	-	-	-	-	-	-	-	2020-04-03	-	-
SRX8237222	359724	35	359689	0.01%	179217	179084	99.93%	882.0042X	704.4617X	59.6891	38.22%	0.001	2020-04-04	-	-
SRX8336044	4970498	494564	4475934	9.95%	3969595	102208	2.57%	159.47X	686.6051X	59.8498	38.83%	0.0012	2020-03-06	-	-
SRX8364407	751306	300	751006	0.04%	388762	388642	99.97%	1,896.3933X	1,043.1792X	59.9915	37.79%	0.0007	2020-04-06	-	-
SRX8325833	-	-	-	-	-	-	-	-	-	-	-	-	2020-04-03	-	-
SRX8171612	-	-	-	-	-	-	-	-	-	-	-	-	2020-03	-	-
SRX8173979	241126	120	241006	0.05%	114951	114698	99.78%	556.0255X	802.5867X	53.8292	38.79%	0.0008	2020-04-02	-	-
SRX7777164	664026	66	663960	0.01%	545845	545825	100%	3,863.2232X	2,398.2115X	59.9764	38.99%	0.0019	2020-02-14	-	-
SRX8364400	205794	0	205794	0.00%	144151	144131	99.99%	709.5908X	458.3233X	59.9722	37.74%	0.0008	2020-04-09	-	-
SRX8336043	1867690	95252	1772438	5.10%	884732	158046	17.86%	260.0711X	578.1998X	59.9552	38.09%	0.0017	2020-03-06	-	-
SRX8237225	293176	117	293059	0.04%	143896	143739	99.89%	706.5457X	684.1589X	59.6952	38.12%	0.0008	2020-04-02	-	-
SRX8364409	882608	0	882608	0.00%	257001	256808	99.92%	1,231.9553X	1,647.8009X	55.1841	38.59%	0.0008	2020-04-01	-	-
SRX8336075	48976	2904	46072	5.93%	15906	4352	27.36%	9.1999X	25.5366X	58.7901	38.15%	0.0015	2020-03-10	-	-
SRX8237213	807418	161	807257	0.02%	298801	293432	98.2%	1,440.479X	1,253.2221X	59.6918	38.46%	0.001	2020-04-03	-	-
SRX8173984	29066	139	28927	0.48%	21469	19447	90.58%	95.4793X	225.9138X	29.1929	37.81%	0.0012	2020-04-02	-	-
SRX8173983	540546	0	540546	0.00%	272423	272384	99.99%	1,338.9954X	784.7205X	59.9789	38.19%	0.0016	2020-04-02	-	-
SRX8173977	371192	519	370673	0.14%	135013	133992	99.24%	640.2945X	1,169.7691X	35.0359	38.11%	0.0007	2020-04-02	-	-
SRX8237214	166018	182	165836	0.11%	90771	88651	97.66%	435.7958X	540.1927X	55.4937	38.13%	0.0009	2020-04-03	-	-
SRX8336072	613948	90495	523453	14.74%	568730	192	0.03%	0.2486X	5.6698X	2.3832	26.82%	0.0004	2020-03-05	-	-
SRX8325406	11522	3	11519	0.03%	10747	10745	99.98%	35.8684X	23.1611X	59.5458	38.05%	0.0007	2020-04	-	-
SRX8325861	-	-	-	-	-	-	-	-	-	-	-	-	2020-03-30	-	-
SRX8325439	220412	88	220324	0.04%	130630	130620	99.99%	435.6529X	209.5621X	59.9902	37.81%	0.0009	2020-04	-	-
SRX8237248	209734	20	209714	0.01%	134160	134126	99.97%	660.1749X	391.1367X	59.9875	37.88%	0.0009	2020-04-07	-	-
SRX7976145	681298	659496	21802	96.80%	26862	25	0.09%	0.059X	0.5882X	2.1931	28.05%	0.0057	Mar-2020	-	-
SRX8133065	-	-	-	-	-	-	-	-	-	-	-	-	2020-03	-	-
SRX8325859	-	-	-	-	-	-	-	-	-	-	-	-	2020-03-30	-	-
SRX8325401	150984	166	150818	0.11%	97010	97000	99.99%	323.9992X	162.9771X	59.9884	37.72%	0.0008	2020-04	-	-
SRX8133062	-	-	-	-	-	-	-	-	-	-	-	-	2020-03	-	-
SRX7976142	151718	4976	146742	3.28%	689	168	24.38%	0.8212X	2.4948X	8.8682	41.14%	0.0054	Mar-2020	-	-
SRX8336029	823526	12352	811174	1.50%	156238	128653	82.34%	245.0341X	240.7173X	59.989	38.69%	0.0022	2020-03-10	-	-
SRX8325866	-	-	-	-	-	-	-	-	-	-	-	-	2020-04-04	-	-
SRX8173589	-	-	-	-	-	-	-	-	-	-	-	-	2020-03	-	-
SRX8325437	324256	32	324224	0.01%	170020	170016	100%	567.4184X	269.2469X	59.9953	37.77%	0.0007	2020-04	-	-
SRX8237246	151346	559	150787	0.37%	90012	89980	99.96%	440.5398X	525.0499X	55.758	37.88%	0.0023	2020-04-06	-	-
SRX8133054	-	-	-	-	-	-	-	-	-	-	-	-	2020-03	-	-
SRX8325850	-	-	-	-	-	-	-	-	-	-	-	-	2020-01-19	-	-
SRX8325408	189932	18	189914	0.01%	116646	116646	100%	388.9658X	195.6033X	59.8799	37.82%	0.0009	2020-04	-	-
SRX8325868	-	-	-	-	-	-	-	-	-	-	-	-	2020-04-04	-	-
SRX8237241	265970	26	265944	0.01%	141100	141044	99.96%	694.605X	570.8529X	59.6913	38.2%	0.0008	2020-04-06	-	-
SRX8336027	354976	20766	334210	5.85%	115043	43582	37.88%	87.0862X	92.7554X	59.8642	38.61%	0.0019	2020-03-10	-	-
SRX8325430	191274	1530	189744	0.80%	105859	105680	99.83%	352.4871X	252.173X	59.8918	37.58%	0.001	2020-04	-	-
SRX8325857	-	-	-	-	-	-	-	-	-	-	-	-	2020-01-19	-	-
SRX8133053	-	-	-	-	-	-	-	-	-	-	-	-	2020-03	-	-
SRX8173976	610978	3115	607863	0.51%	188580	183632	97.38%	868.8357X	1,432.3769X	40.6019	38.12%	0.0009	2020-04-02	-	-
SRX8237215	329580	0	329580	0.00%	185835	185780	99.97%	915.1317X	792.8528X	59.6884	37.84%	0.0007	2020-04-03	-	-
SRX8173982	527438	158	527280	0.03%	233003	231405	99.31%	1,132.905X	1,006.6071X	59.6561	38.54%	0.0019	2020-04-03	-	-
SRX8364408	678786	0	678786	0.00%	390776	390709	99.98%	1,907.6752X	1,002.7703X	59.9921	37.84%	0.0007	2020-04-06	-	-
SRX8173985	327816	0	327816	0.00%	166481	166334	99.91%	818.5594X	669.7352X	59.6954	38.07%	0.001	2020-03-16	-	-
SRX8237212	268280	670	267610	0.25%	127757	108434	84.88%	532.7963X	762.4091X	52.1813	38.73%	0.0008	2020-04-03	-	-
SRX8336074	2516644	120043	2396601	4.77%	705266	322684	45.75%	629.5471X	611.659X	59.8351	38.69%	0.0022	2020-03-10	-	-
SRX8171613	-	-	-	-	-	-	-	-	-	-	-	-	2020-03	-	-
SRX8173978	393628	393	393235	0.10%	164512	163270	99.25%	793.7507X	1,033.6016X	55.9684	38.27%	0.0007	2020-04-02	-	-
SRX8325832	-	-	-	-	-	-	-	-	-	-	-	-	2020-04-03	-	-
SRX8364401	1065670	0	1065670	0.00%	418311	418069	99.94%	2,020.4813X	1,276.9094X	59.6923	38.16%	0.0007	2020-04-06	-	-
SRX7989179	349970	0	349970	0.00%	161960	161890	99.96%	793.5676X	768.2757X	59.5442	37.98%	0.0006	2020-03	-	-
SRX8237224	384274	0	384274	0.00%	230392	230391	100%	1,136.7623X	805.5857X	59.8371	37.69%	0.0007	2020-04-02	-	-
SRX8336042	4658390	83385	4575005	1.79%	1297966	620331	47.79%	1,212.2859X	746.9473X	59.937	38.57%	0.0019	2020-03-06	-	-
SRX8325835	-	-	-	-	-	-	-	-	-	-	-	-	2020-03-30	-	-
SRX7777162	788398	0	788398	0.00%	647540	647535	100%	4,647.075X	2,629.1494X	59.9805	39.08%	0.0019	2020-02-14	-	-
SRX8336045	271816	77603	194213	28.55%	229951	399	0.17%	0.4991X	13.7849X	1.0214	37.48%	0.0002	2020-03-10	-	-
SRX8237223	101122	192	100930	0.19%	55765	53678	96.26%	262.9346X	432.6646X	43.1406	39.17%	0.0016	2020-04-04	-	-
SRX8364406	109256	131	109125	0.12%	62698	48024	76.6%	221.5955X	609.8631X	25.2653	38.22%	0.001	2020-04-06	-	-
SRX8325828	-	-	-	-	-	-	-	-	-	-	-	-	2020-03-31	-	-
SRX8171609	-	-	-	-	-	-	-	-	-	-	-	-	2020-03	-	-
SRX8237201	240604	0	240604	0.00%	138268	138262	100%	682.0927X	434.8393X	59.6971	38.01%	0.0006	2020-03-28	-	-
SRX8336067	1385636	364145	1021491	26.28%	1152259	5823	0.51%	10.4341X	95.2868X	25.6877	37.98%	0.0013	2020-03-10	-	-
SRX8173996	235948	0	235948	0.00%	153127	153122	100%	752.5488X	434.3113X	59.6893	37.86%	0.0009	2020-03-16	-	-
SRX8336058	6163836	598508	5565328	9.71%	4916348	180391	3.67%	287.2783X	1,145.161X	59.5617	39.02%	0.0012	2020-03-08	-	-
SRX8173991	1108140	0	1108140	0.00%	449198	449157	99.99%	2,163.8392X	1,256.619X	59.9682	38.2%	0.0013	2020-04-03	-	-
SRX8055179	-	-	-	-	-	-	-	-	-	-	-	-	2020-03	-	-
SRX8237206	925890	185	925705	0.02%	378781	376638	99.43%	1,835.3502X	1,168.7618X	59.9277	38.23%	0.0012	2020-04-03	-	-
SRX8237239	190816	0	190816	0.00%	123340	123335	100%	607.635X	367.4766X	59.6869	37.84%	0.0009	2020-04-06	-	-
SRX8325441	165516	16	165500	0.01%	104580	104578	100%	348.9943X	177.2105X	59.9867	37.85%	0.0009	2020-04	-	-
SRX8336056	1350208	372792	977416	27.61%	1137117	2331	0.2%	3.838X	57.0972X	6.4194	34.58%	0.0004	2020-03-10	-	-
SRX8237230	471304	424	470880	0.09%	206297	206047	99.88%	1,011.5667X	854.1504X	59.693	38.27%	0.0009	2020-04-02	-	-
SRX8173998	353222	353	352869	0.10%	176622	174599	98.85%	845.4137X	860.9461X	59.291	38.4%	0.0019	2020-04-03	-	-
SRX8055184	881246	88	881158	0.01%	398103	397982	99.97%	1,930.9341X	947.9805X	59.9945	37.98%	0.0008	2020-03	-	-
SRX8336069	5092264	205727	4886537	4.04%	4177954	114946	2.75%	192.4638X	518.9816X	59.7353	37.98%	0.0015	2020-03-05	-	-
SRX8055170	-	-	-	-	-	-	-	-	-	-	-	-	2020-03	-	-
SRX8325826	-	-	-	-	-	-	-	-	-	-	-	-	2020-03-31	-	-
SRX8171607	-	-	-	-	-	-	-	-	-	-	-	-	2020-03	-	-
SRX8237237	201808	20	201788	0.01%	114252	114247	100%	561.2663X	483.5621X	59.6861	38.25%	0.0009	2020-04-06	-	-
SRX8336051	6492638	311646	6180992	4.80%	3277788	550035	16.78%	1,093.1461X	1,079.4734X	59.8887	38.71%	0.0017	2020-03-06	-	-
SRX8364412	811624	81	811543	0.01%	405460	405345	99.97%	1,943.9302X	1,066.6691X	59.9869	38.02%	0.0009	2020-04-07	-	-
SRX8171600	-	-	-	-	-	-	-	-	-	-	-	-	2020-03	-	-
SRX8325821	-	-	-	-	-	-	-	-	-	-	-	-	2020-04-02	-	-
SRX8055177	1008788	100	1008688	0.01%	478967	478929	99.99%	2,320.99X	1,309.256X	59.9961	37.93%	0.0006	2020-03	-	-
SRX8237208	231592	0	231592	0.00%	165358	165337	99.99%	818.0856X	502.3395X	59.9442	37.65%	0.0009	2020-04-03	-	-
SRX8055183	362842	0	362842	0.00%	227647	227637	100%	1,128.5992X	691.6123X	59.9969	37.62%	0.0005	2020-03	-	-
SRX8133071	-	-	-	-	-	-	-	-	-	-	-	-	2020-03	-	-
SRX8173593	-	-	-	-	-	-	-	-	-	-	-	-	2020-04	-	-
SRX8325412	256660	128	256532	0.05%	144054	144025	99.98%	480.7179X	215.1455X	59.9973	37.92%	0.0006	2020-04	-	-
SRX8173594	-	-	-	-	-	-	-	-	-	-	-	-	2020-03	-	-
SRX8133049	-	-	-	-	-	-	-	-	-	-	-	-	2020-03	-	-
SRX8325415	241292	24	241268	0.01%	138996	138988	99.99%	464.126X	221.5096X	59.9978	37.86%	0.0006	2020-04	-	-
SRX8133040	-	-	-	-	-	-	-	-	-	-	-	-	2020-03	-	-
SRX8325844	-	-	-	-	-	-	-	-	-	-	-	-	2020-03-26	-	-
SRX8237252	305556	0	305556	0.00%	173263	173253	99.99%	852.6864X	525.0029X	59.9628	37.96%	0.0008	2020-03-12	-	-
SRX8336034	1000310	279386	720924	27.93%	787360	9856	1.25%	14.3949X	119.1696X	35.9363	39.44%	0.0008	2020-03-10	-	-
SRX8325423	176914	7554	169360	4.27%	105742	105024	99.32%	350.8494X	176.1659X	59.9864	37.7%	0.0011	2020-04	-	-
SRX8325843	-	-	-	-	-	-	-	-	-	-	-	-	2020-03-31	-	-
SRX8133047	-	-	-	-	-	-	-	-	-	-	-	-	2020-03	-	-
SRX8336033	192138	26130	166008	13.60%	42945	18325	42.67%	37.869X	59.6538X	59.8366	38.75%	0.002	2020-03-10	-	-
SRX8325424	126688	1507	125181	1.19%	85414	85294	99.86%	284.983X	131.0134X	59.8465	37.68%	0.0013	2020-04	-	-
SRX8237236	291822	29	291793	0.01%	146877	146855	99.99%	724.6282X	606.104X	59.3896	38.25%	0.0009	2020-04-06	-	-
SRX8364413	737232	0	737232	0.00%	373803	373736	99.98%	1,809.2816X	1,112.1167X	59.9849	37.92%	0.0009	2020-04-07	-	-
SRX8055182	520902	0	520902	0.00%	320946	320938	100%	1,591.6741X	956.8192X	59.9954	38.12%	0.0005	2020-03	-	-
SRX8171601	-	-	-	-	-	-	-	-	-	-	-	-	2020-04	-	-
SRX8237209	183580	0	183580	0.00%	92131	89312	96.94%	439.3377X	598.7673X	51.5636	38.58%	0.001	2020-03-15	-	-
SRX8055176	416174	0	416174	0.00%	267864	267858	100%	1,329.5376X	910.1603X	59.9922	37.68%	0.0006	2020-03	-	-
