Sample	Total Reads After Trimming	Hisat2 Human Mapped Reads	Hisat2 Human Unmapped Reads	Hisat2 % Human Mapped Reads	Total Reads After Removing Duplicates	BWA-MEM SARS-CoV-2 Mapped Reads	BWA % SARS-CoV-2 Mapped Reads	Mean of Coverage Depth	Standard Deviation of Coverage Depth	Mean Mapping Quality	GC Percentage	Error Rate	Collection Date	Gender	Age
SRX8838189	109546	1654	107892	1.51%	54010	53918	99.83%	299.6455X	191.4886X	59.9923	37.89%	0.001	-	-	-
SRX8838141	148228	1452	146776	0.98%	73454	73370	99.89%	437.586X	317.1939X	59.69	37.83%	0.001	-	-	-
SRX8838174	201102	1870	199232	0.93%	99673	98908	99.23%	571.5699X	497.7137X	59.9906	37.96%	0.001	-	-	-
SRX8838293	22892	98	22794	0.43%	11431	11423	99.93%	68.1067X	65.6217X	58.3258	38.46%	0.0017	-	-	-
SRX8838166	154890	1239	153651	0.80%	77085	76987	99.87%	447.9802X	447.6158X	59.5464	38.1%	0.0009	-	-	-
SRX8838156	118164	94	118070	0.08%	59349	59221	99.78%	328.4902X	389.2268X	59.3902	38.32%	0.0013	-	-	-
SRX8838308	22060	2	22058	0.01%	11043	11043	100%	63.48X	52.0309X	59.0858	38.42%	0.0012	-	-	-
SRX8838157	186970	4786	182184	2.56%	91273	90844	99.53%	541.5988X	411.7731X	59.9782	37.95%	0.0013	-	-	-
SRX8838178	252774	3766	249008	1.49%	124687	124374	99.75%	671.423X	679.3244X	59.9921	38.28%	0.001	-	-	-
SRX8838296	241226	313	240913	0.13%	120718	120644	99.94%	773.2978X	391.4215X	59.9903	38.13%	0.0011	-	-	-
SRX8838183	132890	26	132864	0.02%	66511	66502	99.99%	393.5864X	199.789X	59.9906	37.9%	0.0009	-	-	-
SRX8838303	327088	65	327023	0.02%	163962	163957	100%	864.0317X	385.1812X	59.989	38.32%	0.0012	-	-	-
SRX8838287	13270	70	13200	0.53%	6636	6631	99.92%	41.9807X	31.516X	59.9821	38.03%	0.0012	-	-	-
SRX8838167	154770	3234	151536	2.09%	76075	75821	99.67%	445.0767X	645.162X	57.2909	38.84%	0.0009	-	-	-
SRX8838292	10984	12	10972	0.11%	5496	5494	99.96%	32.304X	28.6796X	59.3785	38.36%	0.0011	-	-	-
SRX8838314	184434	2305	182129	1.25%	91090	89545	98.3%	505.8199X	2,327.3953X	26.9152	37.53%	0.0006	-	-	-
SRX8838346	278848	278	278570	0.10%	139661	139609	99.96%	767.6982X	544.278X	59.9855	38.58%	0.0013	-	-	-
SRX8838146	335172	8044	327128	2.40%	163878	163077	99.51%	951.4345X	661.9027X	59.9871	37.87%	0.0011	-	-	-
SRX8838341	8968	9	8959	0.11%	4513	4506	99.84%	25.7415X	24.2054X	56.9801	38.24%	0.0016	-	-	-
SRX8838139	134098	13	134085	0.01%	67239	67238	100%	359.9886X	186.724X	59.9867	37.96%	0.001	-	-	-
SRX8838138	154128	724	153404	0.47%	77027	76992	99.95%	432.9908X	227.1502X	59.9877	37.8%	0.001	-	-	-
SRX8838316	172602	131212	41390	76.02%	20700	20277	97.96%	112.2523X	546.9898X	12.9323	38.02%	0.0004	-	-	-
SRX8838155	244424	219	244205	0.09%	122248	122228	99.98%	709.3333X	327.6255X	59.8427	37.96%	0.0011	-	-	-
SRX8838300	9620	11	9609	0.12%	4849	4848	99.98%	28.7545X	17.3063X	59.9908	38.33%	0.001	-	-	-
SRX8838151	128116	140	127976	0.11%	64060	64048	99.98%	341.3956X	142.7872X	59.9944	37.97%	0.0009	-	-	-
SRX8838326	180414	18	180396	0.01%	90660	90649	99.99%	534.134X	1,088.778X	43.9021	38.77%	0.0013	-	-	-
SRX8838160	220818	1015	219803	0.46%	110033	109963	99.94%	572.1339X	316.6293X	59.9918	37.89%	0.001	-	-	-
SRX8838312	240836	16015	224821	6.65%	112618	111125	98.67%	728.9262X	579.3632X	59.9924	38.53%	0.0014	-	-	-
SRX8838149	123754	321	123433	0.26%	61820	61808	99.98%	295.8111X	470.0405X	45.9791	38.25%	0.0016	-	-	-
SRX8838168	150028	420	149608	0.28%	74947	74915	99.96%	435.4944X	198.0793X	59.9887	37.95%	0.0009	-	-	-
SRX8838159	126920	22617	104303	17.82%	52453	50351	95.99%	291.2591X	681.0894X	29.6214	38.06%	0.0014	-	-	-
SRX8838335	325490	2018	323472	0.62%	169807	169538	99.84%	782.8058X	2,427.1562X	17.7442	40.27%	0.0009	-	-	-
SRX8838310	32152	273	31879	0.85%	16579	16549	99.82%	89.1381X	174.3504X	43.9062	38.86%	0.0009	-	-	-
SRX8838177	135862	706	135156	0.52%	67666	67602	99.91%	404.4964X	223.8759X	59.8575	37.9%	0.0011	-	-	-
SRX8838302	22056	17	22039	0.08%	11068	11066	99.98%	59.9847X	32.9968X	59.9844	38.35%	0.0012	-	-	-
SRX8838181	125526	364	125162	0.29%	62663	62654	99.99%	365.3589X	283.2048X	59.9863	37.98%	0.001	-	-	-
SRX8838186	119928	29742	90186	24.80%	45330	43138	95.16%	243.167X	396.2799X	59.8457	38.84%	0.0013	-	-	-
SRX8838307	257832	2140	255692	0.83%	133985	132737	99.07%	759.4735X	3,368.655X	32.1803	33.95%	0.0005	-	-	-
SRX8838338	253582	67351	186231	26.56%	94028	85413	90.84%	532.0297X	1,860.8497X	30.2191	38.28%	0.0018	-	-	-
SRX8838297	214616	300	214316	0.14%	107502	107463	99.96%	733.5717X	464.1449X	59.9916	38.02%	0.0011	-	-	-
SRX8838305	265054	26	265028	0.01%	132821	132809	99.99%	880.3379X	779.5868X	59.9808	38.31%	0.0013	-	-	-
SRX8838171	147144	7519	139625	5.11%	70134	69491	99.08%	378.3748X	530.7028X	59.3947	38.34%	0.0008	-	-	-
SRX8838158	130538	822	129716	0.63%	65241	64802	99.33%	373.9741X	747.6468X	33.8292	39.6%	0.0015	-	-	-
SRX8838182	143262	12363	130899	8.63%	65698	64178	97.69%	356.9608X	669.2382X	59.5435	37.86%	0.0008	-	-	-
SRX8838301	10362	0	10362	0.00%	5208	5207	99.98%	29.4839X	16.6546X	59.9919	38.2%	0.001	-	-	-
SRX8838304	225932	3004	222928	1.33%	111511	110745	99.31%	648.3045X	2,524.3978X	19.0944	41.15%	0.0011	-	-	-
SRX8838163	148866	401	148465	0.27%	74317	74302	99.98%	400.7621X	179.1271X	59.9952	37.89%	0.0007	-	-	-
SRX8838294	416808	416	416392	0.10%	208821	208716	99.95%	1,301.0111X	766.6063X	59.9787	38.19%	0.0013	-	-	-
SRX8838306	324746	32	324714	0.01%	162560	162552	100%	932.2084X	1,012.0281X	59.6908	38.82%	0.0012	-	-	-
SRX8838333	199024	119	198905	0.06%	100384	99958	99.58%	572.7417X	1,280.3305X	39.5454	38.29%	0.001	-	-	-
SRX8838337	196046	72066	123980	36.76%	62090	53789	86.63%	345.2093X	1,521.8583X	11.5789	40.05%	0.0012	-	-	-
SRX8838185	145886	1575	144311	1.08%	72343	72242	99.86%	406.2086X	405.7002X	59.9912	38.2%	0.001	-	-	-
SRX8838352	210050	164049	46001	78.10%	23992	12991	54.15%	66.316X	497.2008X	11.4292	42.07%	0.0004	-	-	-
SRX8838313	231156	8853	222303	3.83%	129974	101201	77.86%	490.2097X	1,935.7768X	13.678	38.23%	0.0028	-	-	-
SRX8838150	75002	195	74807	0.26%	37429	37412	99.95%	217.7633X	151.3008X	59.3962	37.76%	0.0007	-	-	-
SRX8838289	227922	1344	226578	0.59%	113487	113069	99.63%	762.7086X	549.745X	59.9946	38.2%	0.0009	-	-	-
SRX8838288	268704	429	268275	0.16%	134436	133774	99.51%	817.2148X	467.2617X	59.6815	38.14%	0.0013	-	-	-
SRX8838140	88158	4390	83768	4.98%	42190	41173	97.59%	232.4269X	412.9376X	45.8155	39.04%	0.0017	-	-	-
SRX8838354	298034	447	297587	0.15%	148829	148606	99.85%	816.1148X	2,335.1003X	28.12	38.74%	0.0009	-	-	-
SRX8838343	241966	6920	235046	2.86%	121750	120962	99.35%	546.1178X	1,660.783X	24.488	39.47%	0.0036	-	-	-
SRX8838315	175350	280	175070	0.16%	87574	87227	99.6%	500.9016X	2,591.5869X	11.5789	37.71%	0.0008	-	-	-
