Sample	Total Reads After Trimming	Hisat2 Human Mapped Reads	Hisat2 Human Unmapped Reads	Hisat2 % Human Mapped Reads	Total Reads After Removing Duplicates	BWA-MEM SARS-CoV-2 Mapped Reads	BWA % SARS-CoV-2 Mapped Reads	Mean of Coverage Depth	Standard Deviation of Coverage Depth	Mean Mapping Quality	GC Percentage	Error Rate	Collection Date	Gender	Age
ERX4577157	902388	0	902388	0.00%	9364	9352	99.87%	51.9068X	55.1206X	59.994	38.3%	0.0012	-	-	-
ERX4673023	2863782	0	2863782	0.00%	7437	7422	99.8%	27.1553X	128.5226X	59.9759	39.01%	0.0016	-	-	-
ERX4637445	444504	0	444504	0.00%	3066	3065	99.97%	9.7108X	68.3413X	59.9767	38.91%	0.0017	-	-	-
ERX4673036	2067408	0	2067408	0.00%	11142	11114	99.75%	31.2838X	255.5589X	59.9895	39.36%	0.0013	-	-	-
ERX4658803	1465276	0	1465276	0.00%	3705	3704	99.97%	13.8391X	59.4607X	59.9934	38.8%	0.0013	-	-	-
ERX4636522	793632	0	793632	0.00%	7680	7680	100%	17.9741X	209.9456X	59.9971	39.17%	0.0012	-	-	-
ERX4659487	2069926	0	2069926	0.00%	5813	5813	100%	22.3228X	42.8046X	59.9248	39.13%	0.002	-	-	-
ERX4636706	893676	0	893676	0.00%	4054	4054	100%	14.2243X	45.4108X	59.9786	39.18%	0.0021	-	-	-
ERX4657171	2979850	0	2979850	0.00%	5976	5973	99.95%	19.4279X	120.3986X	59.5459	39.15%	0.0011	-	-	-
ERX4704891	2984290	0	2984290	0.00%	9033	9028	99.94%	32.8497X	105.3636X	59.9755	39.21%	0.0017	-	-	-
ERX4673242	1645146	0	1645146	0.00%	5247	5241	99.89%	20.2125X	88.0519X	59.9936	38.48%	0.0051	-	-	-
ERX4582360	1725324	0	1725324	0.00%	17032	17008	99.86%	88.0087X	124.1419X	59.9719	38.15%	0.0012	-	-	-
ERX4582484	2259084	0	2259084	0.00%	17756	17737	99.89%	101.7644X	64.9495X	59.9842	38.05%	0.0013	-	-	-
ERX4591464	2340316	0	2340316	0.00%	17539	17539	100%	97.5791X	64.654X	59.9639	38.24%	0.0019	-	-	-
ERX4656119	1327118	0	1327118	0.00%	9347	9341	99.94%	31.6957X	102.8396X	59.9686	38.94%	0.0015	-	-	-
ERX4591508	1065282	0	1065282	0.00%	11294	11294	100%	65.7358X	32.1362X	59.9767	38.38%	0.0014	-	-	-
ERX4637141	2150316	0	2150316	0.00%	15789	15777	99.92%	47.7967X	241.7397X	59.9717	38.46%	0.0056	-	-	-
ERX4582539	2260210	0	2260210	0.00%	16631	16615	99.9%	91.807X	69.9894X	59.9865	38.36%	0.0013	-	-	-
ERX4663419	1657328	0	1657328	0.00%	5147	5147	100%	21.2311X	53.9798X	59.9959	39.19%	0.0014	-	-	-
ERX4672718	871978	0	871978	0.00%	3881	3872	99.77%	13.3416X	73.6345X	59.9845	38.81%	0.002	-	-	-
ERX4577139	958574	0	958574	0.00%	9744	9742	99.98%	53.6516X	52.0514X	59.9746	38.1%	0.0016	-	-	-
ERX4577158	924384	0	924384	0.00%	14266	14266	100%	80.4819X	42.8605X	59.9794	38.39%	0.0016	-	-	-
ERX4610609	212754	0	212754	0.00%	4038	4032	99.85%	19.5584X	45.6468X	59.3796	38.6%	0.0011	-	-	-
ERX4582220	2002574	0	2002574	0.00%	20207	20163	99.78%	96.2318X	180.5657X	59.9747	38.15%	0.0013	-	-	-
ERX4591137	1720028	0	1720028	0.00%	14189	14187	99.99%	78.7571X	74.7942X	59.9676	38.16%	0.0014	-	-	-
ERX4657354	673600	0	673600	0.00%	3342	3337	99.85%	12.4538X	37.9478X	59.8492	39.05%	0.0028	-	-	-
ERX4636359	3121170	0	3121170	0.00%	21742	21739	99.99%	115.0136X	160.6546X	59.969	38.06%	0.0016	-	-	-
ERX4591302	1106722	0	1106722	0.00%	11991	11982	99.92%	66.3159X	53.6415X	59.981	38.03%	0.0012	-	-	-
ERX4662464	2257816	0	2257816	0.00%	18214	18165	99.73%	65.1516X	124.2341X	59.973	38.77%	0.0016	-	-	-
ERX4672080	698018	0	698018	0.00%	5514	5514	100%	15.7641X	129.9773X	59.9857	38.53%	0.0014	-	-	-
ERX4591594	2262716	0	2262716	0.00%	17175	17172	99.98%	98.3662X	54.3583X	59.9916	38.01%	0.0013	-	-	-
ERX4582612	102226	0	102226	0.00%	1929	1923	99.69%	12.2519X	7.2162X	59.6971	38.61%	0.0009	-	-	-
ERX4636583	1073306	0	1073306	0.00%	8349	8346	99.96%	20.3954X	217.2432X	59.9782	39.2%	0.0016	-	-	-
ERX4657477	2911202	0	2911202	0.00%	11157	11157	100%	40.4856X	117.8299X	59.9646	39.38%	0.0017	-	-	-
ERX4657461	1785340	0	1785340	0.00%	6914	6900	99.8%	25.8228X	85.9568X	59.9672	38.61%	0.0018	-	-	-
ERX4591296	1609474	0	1609474	0.00%	13336	13329	99.95%	77.7089X	47.2372X	59.9858	38.03%	0.0013	-	-	-
ERX4577169	613134	0	613134	0.00%	6860	6860	100%	41.773X	20.5238X	59.9862	38.32%	0.0013	-	-	-
ERX4582575	1873658	0	1873658	0.00%	18141	18133	99.96%	98.2748X	88.1813X	59.9871	38.1%	0.0013	-	-	-
ERX4591612	1528344	0	1528344	0.00%	12540	12540	100%	73.6961X	48.1088X	59.9933	38.03%	0.0011	-	-	-
ERX4637193	1984546	0	1984546	0.00%	11430	11424	99.95%	35.078X	197.6826X	59.9422	38.28%	0.0061	-	-	-
ERX4659638	1739782	0	1739782	0.00%	5993	5993	100%	21.399X	79.0935X	59.9966	38.84%	0.0013	-	-	-
ERX4658502	1443998	0	1443998	0.00%	6769	6769	100%	16.8762X	185.9777X	59.6946	39.1%	0.001	-	-	-
ERX4637129	2011140	0	2011140	0.00%	9266	9264	99.98%	28.0202X	155.5616X	59.9025	39.01%	0.0016	-	-	-
ERX4610508	736752	73	736679	0.01%	13202	13148	99.59%	51.8195X	169.9022X	59.9915	39.21%	0.0013	-	-	-
ERX4663376	1853036	0	1853036	0.00%	7618	7604	99.82%	23.3793X	167.967X	59.9881	38.69%	0.0014	-	-	-
ERX4591447	2070694	0	2070694	0.00%	15440	15439	99.99%	89.0173X	50.9923X	59.963	38.34%	0.0012	-	-	-
ERX4582625	258724	0	258724	0.00%	3781	3766	99.6%	20.5335X	23.9713X	59.9936	39.05%	0.0014	-	-	-
ERX4591374	2175628	0	2175628	0.00%	18430	18428	99.99%	97.5314X	90.3187X	59.9803	38.34%	0.0014	-	-	-
ERX4577015	2929726	0	2929726	0.00%	34114	34114	100%	141.4845X	775.4402X	59.9473	36.97%	0.0021	-	-	-
ERX4672186	580444	0	580444	0.00%	1875	1875	100%	9.6994X	17.8888X	59.9937	38.79%	0.0014	-	-	-
ERX4582459	1232014	0	1232014	0.00%	11095	11060	99.68%	60.0476X	59.4461X	59.992	38.17%	0.0011	-	-	-
ERX4576897	2701006	0	2701006	0.00%	19218	19218	100%	100.7401X	88.1028X	59.97	38.33%	0.0023	-	-	-
ERX4658525	3173730	0	3173730	0.00%	20963	20963	100%	64.8641X	208.4096X	59.9513	39.5%	0.0015	-	-	-
ERX4656174	1328248	0	1328248	0.00%	9284	9278	99.94%	33.4399X	72.2863X	59.9122	38.8%	0.0026	-	-	-
ERX4659104	2611226	0	2611226	0.00%	10794	10786	99.93%	31.7225X	254.9745X	59.9679	38.59%	0.0081	-	-	-
ERX4659726	1782076	0	1782076	0.00%	10472	10472	100%	27.4005X	169.3435X	59.962	39.78%	0.0017	-	-	-
ERX4591646	1997674	0	1997674	0.00%	17527	17526	99.99%	97.7156X	65.5345X	59.9798	38.33%	0.0012	-	-	-
ERX4591576	1062640	0	1062640	0.00%	12175	12172	99.98%	66.436X	42.1489X	59.9461	38.19%	0.0016	-	-	-
ERX4577191	2673012	0	2673012	0.00%	18980	18980	100%	102.2884X	76.7869X	59.9696	38.34%	0.0015	-	-	-
ERX4657377	1113272	0	1113272	0.00%	4869	4860	99.82%	16.3095X	103.447X	59.9928	38.89%	0.0014	-	-	-
ERX4704834	1791440	0	1791440	0.00%	7446	7446	100%	24.8583X	88.6737X	59.9972	38.98%	0.0014	-	-	-
ERX4673250	1768490	0	1768490	0.00%	8960	8960	100%	33.5633X	87.8533X	59.9775	39.07%	0.002	-	-	-
ERX4658281	2037876	0	2037876	0.00%	7274	7273	99.99%	20.1685X	182.1868X	59.6897	39.18%	0.0012	-	-	-
ERX4658483	2698634	0	2698634	0.00%	11469	11469	100%	35.2139X	160.0477X	59.9789	39.45%	0.0013	-	-	-
ERX4636852	230530	0	230530	0.00%	746	746	100%	4.3288X	2.7912X	59.9865	38.47%	0.0019	-	-	-
ERX4658569	1874762	0	1874762	0.00%	10483	10483	100%	28.8141X	216.3129X	59.9889	39.23%	0.0012	-	-	-
ERX4658354	1319780	0	1319780	0.00%	3913	3913	100%	13.1859X	75.1466X	59.9986	38.95%	0.0012	-	-	-
ERX4636758	883158	0	883158	0.00%	4866	4865	99.98%	15.3959X	58.1361X	59.9724	39.24%	0.002	-	-	-
ERX4656156	779058	0	779058	0.00%	2282	2280	99.91%	10.5496X	22.597X	59.9755	38.64%	0.0016	-	-	-
ERX4577006	819808	0	819808	0.00%	9099	9099	100%	51.8249X	37.1713X	59.979	38.25%	0.0013	-	-	-
ERX4577137	955060	0	955060	0.00%	9260	9260	100%	54.2745X	31.2114X	59.9866	38.19%	0.0013	-	-	-
ERX4591405	1294450	0	1294450	0.00%	11172	11172	100%	64.812X	41.2494X	59.9805	38.23%	0.0014	-	-	-
ERX4656203	1511134	0	1511134	0.00%	5506	5490	99.71%	21.2997X	53.468X	59.9651	38.72%	0.0029	-	-	-
ERX4637118	1705424	0	1705424	0.00%	19771	19771	100%	70.2154X	112.4278X	59.9667	39.03%	0.0016	-	-	-
ERX4672420	2578282	0	2578282	0.00%	10287	10277	99.9%	32.3985X	224.2228X	59.983	39.05%	0.0014	-	-	-
ERX4636338	2058068	0	2058068	0.00%	17450	17449	99.99%	103.2982X	48.4814X	59.9836	38.31%	0.0012	-	-	-
ERX4636431	1119524	0	1119524	0.00%	3280	3280	100%	11.7779X	54.4619X	59.9916	38.91%	0.0016	-	-	-
ERX4591619	1239144	0	1239144	0.00%	13985	13974	99.92%	78.0316X	69.5476X	59.9453	37.97%	0.0015	-	-	-
ERX4663379	1041566	0	1041566	0.00%	4159	4150	99.78%	14.5854X	77.2541X	59.992	39.28%	0.0016	-	-	-
ERX4656121	1024960	0	1024960	0.00%	8010	8007	99.96%	31.221X	44.9868X	59.971	38.51%	0.0025	-	-	-
ERX4672766	2100306	0	2100306	0.00%	6542	6541	99.98%	25.826X	74.6254X	59.9912	38.66%	0.0039	-	-	-
ERX4636791	912066	0	912066	0.00%	4608	4606	99.96%	14.7439X	62.9637X	59.9752	39.17%	0.002	-	-	-
ERX4672569	2344050	0	2344050	0.00%	11114	11109	99.96%	35.1639X	192.9876X	59.9823	39.18%	0.0014	-	-	-
ERX4656193	1296250	0	1296250	0.00%	10774	10770	99.96%	29.8619X	158.6403X	59.9312	38.99%	0.0019	-	-	-
ERX4637413	2714754	0	2714754	0.00%	19008	19001	99.96%	65.1436X	179.0308X	59.9561	38.67%	0.0037	-	-	-
ERX4636857	512842	0	512842	0.00%	2065	2065	100%	7.7817X	35.0872X	59.9385	38.76%	0.0016	-	-	-
ERX4636809	1258458	0	1258458	0.00%	4347	4347	100%	15.4861X	52.2356X	59.9139	39.04%	0.0019	-	-	-
ERX4673226	1768358	0	1768358	0.00%	6547	6542	99.92%	20.396X	147.6891X	59.9576	39.1%	0.0013	-	-	-
ERX4704388	1942830	0	1942830	0.00%	4261	4256	99.88%	16.0169X	81.8433X	59.9939	38.98%	0.0012	-	-	-
ERX4637169	2250404	0	2250404	0.00%	15083	15076	99.95%	49.9388X	146.3828X	59.9896	38.74%	0.0014	-	-	-
ERX4577145	1626410	0	1626410	0.00%	16061	16053	99.95%	85.9458X	96.5094X	59.9768	38.02%	0.0015	-	-	-
ERX4591635	1531068	0	1531068	0.00%	12585	12582	99.98%	72.2342X	45.0083X	59.9868	38.27%	0.0014	-	-	-
ERX4636854	870048	0	870048	0.00%	4207	4205	99.95%	12.7134X	92.25X	59.9204	38.84%	0.0016	-	-	-
ERX4636337	1245094	0	1245094	0.00%	10009	10007	99.98%	59.3193X	36.8103X	59.9879	37.99%	0.0011	-	-	-
ERX4672213	2471880	0	2471880	0.00%	3799	3796	99.92%	17.2171X	49.8246X	59.996	38.71%	0.0013	-	-	-
ERX4636659	1427426	0	1427426	0.00%	5907	5907	100%	18.1528X	117.6407X	59.9888	39.06%	0.0016	-	-	-
ERX4663449	1636780	0	1636780	0.00%	8919	8918	99.99%	29.1182X	142.4132X	59.9766	39.07%	0.0017	-	-	-
ERX4591427	1403520	0	1403520	0.00%	13601	13597	99.97%	79.5871X	56.074X	59.9977	37.79%	0.0015	-	-	-
ERX4672964	2392420	0	2392420	0.00%	6331	6324	99.89%	24.2553X	96.9517X	59.9966	39.09%	0.0014	-	-	-
ERX4656133	1255506	0	1255506	0.00%	9582	9572	99.9%	34.5794X	74.3283X	59.966	38.68%	0.0015	-	-	-
ERX4636438	954484	0	954484	0.00%	6316	6316	100%	19.3758X	104.0499X	59.9876	39.36%	0.0016	-	-	-
ERX4656492	2860544	0	2860544	0.00%	16930	16929	99.99%	49.728X	247.1352X	59.9631	39.16%	0.0015	-	-	-
ERX4577082	2614150	0	2614150	0.00%	18547	18543	99.98%	100.554X	102.0821X	59.9933	38.03%	0.0013	-	-	-
ERX4673290	1960476	0	1960476	0.00%	10143	10140	99.97%	35.2916X	131.571X	59.9462	39.4%	0.0017	-	-	-
ERX4672704	1335030	0	1335030	0.00%	4296	4295	99.98%	15.8807X	84.0769X	59.9961	38.97%	0.0013	-	-	-
ERX4636954	693952	0	693952	0.00%	4915	4914	99.98%	14.6858X	96.9451X	59.9903	38.62%	0.0068	-	-	-
ERX4576954	2313840	0	2313840	0.00%	17594	17594	100%	93.9596X	103.8808X	59.9812	38.03%	0.0015	-	-	-
ERX4637235	3675256	0	3675256	0.00%	21133	21127	99.97%	64.0909X	278.7485X	59.9708	38.84%	0.0016	-	-	-
ERX4658750	2090006	0	2090006	0.00%	8293	8291	99.98%	27.5793X	138.0974X	59.9737	38.99%	0.0017	-	-	-
ERX4591110	1806324	0	1806324	0.00%	15466	15451	99.9%	85.5012X	89.7046X	59.9927	38%	0.0011	-	-	-
ERX4582412	1863784	0	1863784	0.00%	14174	14169	99.96%	84.9441X	44.0382X	59.9875	38.08%	0.0012	-	-	-
ERX4672803	2176794	0	2176794	0.00%	6908	6895	99.81%	26.1321X	92.4417X	59.9724	39.09%	0.0016	-	-	-
ERX4673115	1112196	0	1112196	0.00%	8903	8892	99.88%	23.2433X	236.7158X	59.9717	39.11%	0.0014	-	-	-
ERX4591406	212060	0	212060	0.00%	3957	3955	99.95%	21.6727X	21.0648X	59.9899	38.29%	0.0012	-	-	-
ERX4657128	3630530	0	3630530	0.00%	10881	10881	100%	36.6566X	181.2598X	59.9836	39.51%	0.0012	-	-	-
ERX4672746	1295738	0	1295738	0.00%	5245	5236	99.83%	19.0811X	83.6436X	59.9926	39.18%	0.0014	-	-	-
ERX4657932	2520346	0	2520346	0.00%	3806	3801	99.87%	18.7374X	22.87X	59.9659	38.9%	0.0016	-	-	-
ERX4610598	1682020	0	1682020	0.00%	15579	15554	99.84%	80.6976X	95.0843X	59.9915	38.31%	0.0012	-	-	-
ERX4659677	939476	0	939476	0.00%	3594	3594	100%	12.4615X	74.3267X	59.9767	39.06%	0.0013	-	-	-
ERX4672963	2854448	0	2854448	0.00%	9108	9096	99.87%	30.2679X	180.0134X	59.9876	39.15%	0.0015	-	-	-
ERX4704364	890510	0	890510	0.00%	3907	3905	99.95%	12.3204X	88.1037X	59.9807	39.16%	0.0014	-	-	-
ERX4663403	1975780	0	1975780	0.00%	7804	7800	99.95%	24.3711X	172.9313X	59.948	39.04%	0.0014	-	-	-
ERX4591365	1652478	0	1652478	0.00%	13773	13768	99.96%	79.7602X	54.1921X	59.9865	37.99%	0.0012	-	-	-
ERX4582253	1297678	0	1297678	0.00%	12647	12618	99.77%	70.9268X	61.3522X	59.9922	38.1%	0.001	-	-	-
ERX4704897	1037682	0	1037682	0.00%	3179	3178	99.97%	12.8347X	29.3122X	59.9977	39.13%	0.0013	-	-	-
ERX4636808	777612	0	777612	0.00%	3003	3001	99.93%	10.3853X	48.6139X	59.9973	38.46%	0.0023	-	-	-
ERX4672857	2696112	0	2696112	0.00%	8105	8097	99.9%	30.2298X	109.1291X	59.9969	39.08%	0.0013	-	-	-
ERX4672852	2053084	0	2053084	0.00%	5420	5389	99.43%	21.0247X	88.7341X	59.995	38.88%	0.0012	-	-	-
ERX4577164	942612	0	942612	0.00%	11505	11501	99.97%	62.5732X	57.3554X	59.973	38.09%	0.0014	-	-	-
ERX4656525	3177558	0	3177558	0.00%	15740	15733	99.96%	58.3568X	92.9719X	59.986	38.58%	0.0013	-	-	-
ERX4591284	1224674	0	1224674	0.00%	10827	10827	100%	63.3585X	34.63X	59.9907	38.42%	0.0014	-	-	-
ERX4610637	1796848	0	1796848	0.00%	16127	16121	99.96%	95.5624X	46.1841X	59.9937	38.16%	0.0012	-	-	-
ERX4656155	643134	0	643134	0.00%	5554	5554	100%	16.6175X	97.51X	59.9729	39.05%	0.0014	-	-	-
ERX4657702	2066784	0	2066784	0.00%	9695	9690	99.95%	31.8668X	178.0324X	59.9748	39.4%	0.0013	-	-	-
ERX4582602	2044472	0	2044472	0.00%	15154	15154	100%	87.1345X	48.0611X	59.9711	38.28%	0.0012	-	-	-
ERX4656532	2755078	0	2755078	0.00%	17763	17735	99.84%	48.176X	307.9121X	59.9514	39.12%	0.0015	-	-	-
ERX4591384	2346240	0	2346240	0.00%	16843	16838	99.97%	94.2176X	66.6514X	59.9826	38.19%	0.0014	-	-	-
ERX4576974	769792	0	769792	0.00%	8702	8701	99.99%	51.9129X	30.3005X	59.9894	37.96%	0.0015	-	-	-
ERX4577131	2751084	0	2751084	0.00%	18719	18716	99.98%	105.8113X	77.8867X	59.9873	38.04%	0.0011	-	-	-
ERX4658402	2751836	0	2751836	0.00%	7401	7401	100%	24.2595X	117.146X	59.9509	39.17%	0.0017	-	-	-
ERX4673235	1678302	0	1678302	0.00%	6103	6098	99.92%	22.9554X	88.4327X	59.9858	39.23%	0.0015	-	-	-
ERX4695361	2187506	0	2187506	0.00%	11402	11402	100%	39.0331X	166.0147X	59.988	39.01%	0.0013	-	-	-
ERX4577095	366126	0	366126	0.00%	4895	4891	99.92%	29.9278X	17.0634X	59.9977	38.25%	0.0011	-	-	-
ERX4672679	2779178	0	2779178	0.00%	12750	12739	99.91%	42.8443X	178.1616X	59.9812	39.21%	0.0014	-	-	-
ERX4636378	1214464	0	1214464	0.00%	8073	8073	100%	22.1151X	163.3528X	59.9829	39.33%	0.0017	-	-	-
ERX4582555	1639036	0	1639036	0.00%	15226	15217	99.94%	85.7432X	64.3852X	59.9817	38%	0.0013	-	-	-
ERX4657789	2476574	0	2476574	0.00%	12129	12115	99.88%	38.7907X	207.6549X	59.968	39.04%	0.0019	-	-	-
ERX4591370	1554158	0	1554158	0.00%	12949	12949	100%	73.9446X	46.7891X	59.9902	38.34%	0.0014	-	-	-
ERX4656047	1711416	0	1711416	0.00%	11999	11996	99.97%	40.0287X	107.1963X	59.9528	38.7%	0.0016	-	-	-
ERX4636887	84044	0	84044	0.00%	1430	1430	100%	4.3448X	31.2709X	59.6766	38.47%	0.0013	-	-	-
ERX4657581	1347062	0	1347062	0.00%	8815	8812	99.97%	24.4932X	232.8394X	59.9444	39.25%	0.0016	-	-	-
ERX4576933	1038630	0	1038630	0.00%	9668	9668	100%	55.8176X	34.5036X	59.98	38.24%	0.0015	-	-	-
ERX4591495	1375778	0	1375778	0.00%	13653	13652	99.99%	76.908X	54.6123X	59.9903	38.47%	0.0013	-	-	-
ERX4658977	1931880	0	1931880	0.00%	6267	6265	99.97%	21.4963X	124.7999X	59.9929	39.05%	0.0012	-	-	-
ERX4591506	521866	0	521866	0.00%	7494	7492	99.97%	42.9345X	37.129X	59.997	37.93%	0.0011	-	-	-
ERX4662419	2060528	0	2060528	0.00%	8671	8644	99.69%	35.1851X	58.0635X	59.9844	38.82%	0.0016	-	-	-
ERX4577012	860938	0	860938	0.00%	9717	9713	99.96%	55.0281X	48.2872X	59.9901	38.06%	0.0013	-	-	-
ERX4591017	1647330	0	1647330	0.00%	16910	16906	99.98%	87.6203X	84.431X	59.9474	38.19%	0.002	-	-	-
ERX4591554	1554922	0	1554922	0.00%	14614	14613	99.99%	85.5949X	57.6725X	59.9638	37.9%	0.0013	-	-	-
ERX4582569	1800404	0	1800404	0.00%	17300	17289	99.94%	99.6936X	51.9074X	59.9865	38.38%	0.0013	-	-	-
ERX4582488	568084	0	568084	0.00%	7269	7242	99.63%	40.6482X	35.1545X	59.9837	38.19%	0.0014	-	-	-
ERX4637435	2238910	0	2238910	0.00%	23532	23518	99.94%	77.7962X	241.7149X	59.9718	38.84%	0.0015	-	-	-
ERX4704393	207774	0	207774	0.00%	1204	1204	100%	5.1128X	19.9067X	59.3622	39.03%	0.0014	-	-	-
ERX4590865	1765420	0	1765420	0.00%	14817	14815	99.99%	82.8381X	64.9318X	59.9807	38.14%	0.0013	-	-	-
ERX4636313	149930	14	149916	0.01%	2527	2513	99.45%	15.0814X	12.2685X	59.3889	38.95%	0.0015	-	-	-
ERX4658642	1795750	0	1795750	0.00%	9379	9379	100%	28.2485X	172.8692X	59.9817	39.35%	0.0014	-	-	-
ERX4591476	662218	0	662218	0.00%	6969	6950	99.73%	42.7745X	23.4039X	59.9949	37.91%	0.0011	-	-	-
ERX4656414	1729922	0	1729922	0.00%	10957	10954	99.97%	28.4546X	237.661X	59.9796	39.4%	0.0013	-	-	-
ERX4636357	3012932	0	3012932	0.00%	20801	20788	99.94%	122.1375X	76.2782X	59.9823	37.97%	0.0014	-	-	-
ERX4656218	471582	0	471582	0.00%	2590	2590	100%	9.4377X	47.4972X	59.9898	38.98%	0.0012	-	-	-
ERX4656437	3599380	0	3599380	0.00%	11896	11888	99.93%	38.0039X	167.397X	59.9864	39.02%	0.0012	-	-	-
ERX4591599	1632002	0	1632002	0.00%	14070	14070	100%	84.1485X	47.3529X	59.9957	37.85%	0.001	-	-	-
ERX4610666	1256630	0	1256630	0.00%	12885	12877	99.94%	69.1362X	74.4266X	59.9909	38.13%	0.0021	-	-	-
ERX4582506	83340	0	83340	0.00%	1955	1954	99.95%	11.3024X	12.2558X	58.1834	38.44%	0.0011	-	-	-
ERX4582256	2181674	0	2181674	0.00%	20268	20264	99.98%	111.9312X	99.2499X	59.9539	38.21%	0.0017	-	-	-
ERX4656046	963100	0	963100	0.00%	6683	6682	99.99%	19.2336X	143.8191X	59.9502	39.03%	0.0026	-	-	-
ERX4672891	1558034	0	1558034	0.00%	6936	6925	99.84%	22.6561X	140.7129X	59.9775	39.2%	0.0015	-	-	-
ERX4656292	445984	0	445984	0.00%	4116	4115	99.98%	11.792X	76.4094X	59.9306	39.02%	0.0016	-	-	-
ERX4657201	2269586	0	2269586	0.00%	11800	11800	100%	34.8908X	217.3408X	59.9273	38.9%	0.0017	-	-	-
ERX4656135	572928	0	572928	0.00%	4402	4400	99.95%	12.8644X	93.9716X	59.9313	39.08%	0.0016	-	-	-
ERX4591348	1340058	0	1340058	0.00%	11128	11128	100%	64.1447X	41.053X	59.9854	38.29%	0.0014	-	-	-
ERX4582530	2193544	0	2193544	0.00%	17737	17736	99.99%	100.6064X	55.8222X	59.9782	38.45%	0.0014	-	-	-
ERX4637467	234580	0	234580	0.00%	1349	1348	99.93%	5.5354X	18.6575X	59.6905	38.12%	0.0014	-	-	-
ERX4591446	1430602	0	1430602	0.00%	13557	13547	99.93%	77.7809X	52.5639X	59.9722	37.94%	0.0012	-	-	-
ERX4659779	1492966	0	1492966	0.00%	5805	5805	100%	19.2723X	105.6952X	59.9765	38.94%	0.0013	-	-	-
ERX4659613	1587668	0	1587668	0.00%	10098	10098	100%	30.77X	154.9726X	59.9753	39.49%	0.0016	-	-	-
